,county,date,new_cases,new_deaths
576,Santa Barbara,2020-05-02,7,0
577,Santa Barbara,2020-05-03,6,0
578,Santa Barbara,2020-05-04,12,1
579,Santa Barbara,2020-05-05,17,1
580,Santa Barbara,2020-05-06,24,1
581,Santa Barbara,2020-05-07,155,0
582,Santa Barbara,2020-05-08,334,0
583,Santa Barbara,2020-05-09,191,0
584,Santa Barbara,2020-05-10,78,0
585,Santa Barbara,2020-05-11,49,0
586,Santa Barbara,2020-05-12,5,0
587,Santa Barbara,2020-05-13,5,0
588,Santa Barbara,2020-05-14,13,0
589,Santa Barbara,2020-05-15,14,0
590,Santa Barbara,2020-05-16,13,0
591,Santa Barbara,2020-05-17,35,0
592,Santa Barbara,2020-05-18,44,0
593,Santa Barbara,2020-05-19,20,0
594,Santa Barbara,2020-05-20,3,0
595,Santa Barbara,2020-05-21,17,0
596,Santa Barbara,2020-05-22,13,1
597,Santa Barbara,2020-05-23,12,0
598,Santa Barbara,2020-05-24,7,0
599,Santa Barbara,2020-05-25,17,0
600,Santa Barbara,2020-05-26,0,0
601,Santa Barbara,2020-05-27,39,0
602,Santa Barbara,2020-05-28,13,0
603,Santa Barbara,2020-05-29,14,0
604,Santa Barbara,2020-05-30,4,0
605,Santa Barbara,2020-05-31,2,0
606,Santa Barbara,2020-06-01,9,0
607,Santa Barbara,2020-06-02,32,2
608,Santa Barbara,2020-06-03,19,0
609,Santa Barbara,2020-06-04,28,0
610,Santa Barbara,2020-06-05,45,1
611,Santa Barbara,2020-06-06,20,0
612,Santa Barbara,2020-06-07,3,0
613,Santa Barbara,2020-06-08,6,0
614,Santa Barbara,2020-06-09,30,0
615,Santa Barbara,2020-06-10,24,1
616,Santa Barbara,2020-06-11,17,0
617,Santa Barbara,2020-06-12,74,0
618,Santa Barbara,2020-06-13,30,2
619,Santa Barbara,2020-06-14,50,0
620,Santa Barbara,2020-06-15,5,0
621,Santa Barbara,2020-06-16,36,3
622,Santa Barbara,2020-06-17,57,1
623,Santa Barbara,2020-06-18,54,0
624,Santa Barbara,2020-06-19,83,0
625,Santa Barbara,2020-06-20,74,0
626,Santa Barbara,2020-06-21,72,0
627,Santa Barbara,2020-06-22,17,5
628,Santa Barbara,2020-06-23,51,0
629,Santa Barbara,2020-06-24,71,0
630,Santa Barbara,2020-06-25,64,1
631,Santa Barbara,2020-06-26,169,0
632,Santa Barbara,2020-06-27,55,0
633,Santa Barbara,2020-06-28,88,0
634,Santa Barbara,2020-06-29,147,1
635,Santa Barbara,2020-06-30,118,0
636,Santa Barbara,2020-07-01,76,0
637,Santa Barbara,2020-07-02,99,0
638,Santa Barbara,2020-07-03,21,0
639,Santa Barbara,2020-07-04,114,0
640,Santa Barbara,2020-07-05,151,0
641,Santa Barbara,2020-07-06,92,0
642,Santa Barbara,2020-07-07,103,1
643,Santa Barbara,2020-07-08,119,-1
644,Santa Barbara,2020-07-09,83,0
645,Santa Barbara,2020-07-10,109,2
646,Santa Barbara,2020-07-11,106,0
647,Santa Barbara,2020-07-12,70,0
648,Santa Barbara,2020-07-13,88,0
649,Santa Barbara,2020-07-14,200,0
650,Santa Barbara,2020-07-15,92,0
651,Santa Barbara,2020-07-16,139,1
652,Santa Barbara,2020-07-17,129,0
653,Santa Barbara,2020-07-18,109,0
654,Santa Barbara,2020-07-19,35,0
655,Santa Barbara,2020-07-20,121,0
656,Santa Barbara,2020-07-21,156,0
657,Santa Barbara,2020-07-22,86,0
658,Santa Barbara,2020-07-23,120,0
659,Santa Barbara,2020-07-24,148,0
660,Santa Barbara,2020-07-25,104,0
661,Santa Barbara,2020-07-26,59,0
662,Santa Barbara,2020-07-27,87,0
663,Santa Barbara,2020-07-28,84,0
664,Santa Barbara,2020-07-29,105,0
665,Santa Barbara,2020-07-30,58,0
666,Santa Barbara,2020-07-31,102,28
667,Santa Barbara,2020-08-01,90,0
668,Santa Barbara,2020-08-02,67,0
669,Santa Barbara,2020-08-03,48,1
670,Santa Barbara,2020-08-04,11,3
671,Santa Barbara,2020-08-05,6,3
672,Santa Barbara,2020-08-06,23,1
673,Santa Barbara,2020-08-07,-111,1
674,Santa Barbara,2020-08-08,89,0
675,Santa Barbara,2020-08-09,71,0
676,Santa Barbara,2020-08-10,200,0
677,Santa Barbara,2020-08-11,73,4
678,Santa Barbara,2020-08-12,107,0
679,Santa Barbara,2020-08-13,80,2
680,Santa Barbara,2020-08-14,173,2
681,Santa Barbara,2020-08-15,36,0
682,Santa Barbara,2020-08-16,30,0
683,Santa Barbara,2020-08-17,70,3
684,Santa Barbara,2020-08-18,34,1
685,Santa Barbara,2020-08-19,27,1
686,Santa Barbara,2020-08-20,72,2
687,Santa Barbara,2020-08-21,74,3
688,Santa Barbara,2020-08-22,40,0
689,Santa Barbara,2020-08-23,40,0
690,Santa Barbara,2020-08-24,59,1
691,Santa Barbara,2020-08-25,70,1
692,Santa Barbara,2020-08-26,50,1
693,Santa Barbara,2020-08-27,30,1
694,Santa Barbara,2020-08-28,67,0
695,Santa Barbara,2020-08-29,51,1
696,Santa Barbara,2020-08-30,36,0
697,Santa Barbara,2020-08-31,36,1
698,Santa Barbara,2020-09-01,18,2
699,Santa Barbara,2020-09-02,64,2
700,Santa Barbara,2020-09-03,71,0
