review_date,times,total_rating,average_rating,popularity
2020-10-22,2,7,3.5,3.913092550790068
2020-10-25,5,21,4.2,4.186606471030851
2020-10-26,2,4,2.0,3.413092550790068
2020-10-27,1,5,5.0,4.266365688487585
2020-10-28,1,1,1.0,3.599699021820918
2020-10-30,3,12,4.0,4.059819413092551
2020-11-01,1,4,4.0,4.099699021820919
2020-11-02,2,9,4.5,4.2464258841234015
2020-11-03,3,7,2.3333333333333335,3.2264860797592174
2020-11-05,2,6,3.0,3.7464258841234015
2020-11-07,4,11,2.75,3.2065462753950342
2020-11-08,1,5,5.0,4.266365688487585
2020-11-12,2,10,5.0,4.4130925507900685
2020-11-13,6,26,4.333333333333333,4.333333333333333
2020-11-14,3,15,5.0,4.559819413092551
2020-11-15,3,15,5.0,4.559819413092551
2020-11-16,1,4,4.0,4.099699021820919
2020-11-17,1,4,4.0,4.099699021820919
2020-11-18,2,10,5.0,4.4130925507900685
2020-11-19,2,8,4.0,4.0797592174567345
2020-11-20,2,10,5.0,4.4130925507900685
2020-11-21,1,2,2.0,3.766365688487585
2020-11-22,2,6,3.0,3.7464258841234015
2020-11-23,5,25,5.0,4.853273137697517
2020-11-24,2,6,3.0,3.7464258841234015
2020-11-25,1,5,5.0,4.266365688487585
2020-11-27,1,1,1.0,3.599699021820918
2020-11-28,1,5,5.0,4.266365688487585
2020-11-29,4,19,4.75,4.539879608728367
2020-11-30,1,5,5.0,4.266365688487585
2020-12-01,2,6,3.0,3.7464258841234015
2020-12-02,1,1,1.0,3.599699021820918
2020-12-03,2,10,5.0,4.4130925507900685
2020-12-04,3,11,3.6666666666666665,3.8931527464258844
